,artist_id,name,genres,popularity,followers,track_id,track_name,release_date,release_date_precision,album_len,duration_ms,explicit,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Genre,Map
18,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,4pCbJC43j3gSqG6Fen6upD,Hey Driver (feat. The War and Treaty),2023-08-25,day,16.0,227466.0,False,86.0,0.583,0.351,0.0,-5.836,1.0,0.0306,0.494,0.0,0.368,0.462,79.014,4.0,['Country'],True
19,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,2Dct3GykKZ58hpWRFfe2Qd,Heading South,2019-09-30,day,1.0,171692.0,True,86.0,0.68,0.246,4.0,-14.112,1.0,0.058,0.783,0.0,0.106,0.388,110.23,4.0,['Country'],True
20,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,1fvC3CmNAbsx0V9ULMU8NB,Sarah's Place (feat. Noah Kahan),2023-09-21,day,1.0,214056.0,False,80.0,0.576,0.683,7.0,-5.103,1.0,0.118,0.41,0.0,0.0819,0.433,151.566,4.0,['Country'],True
21,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,1fvC3CmNAbsx0V9ULMU8NB,Sarah's Place (feat. Noah Kahan),2023-09-21,day,1.0,214056.0,False,80.0,0.576,0.683,7.0,-5.103,1.0,0.118,0.41,0.0,0.0819,0.433,151.566,4.0,['Country'],True
22,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,3EvZ03hGAFwGZ2Ebcu86YH,Tourniquet,2023-08-25,day,16.0,189053.0,True,84.0,0.593,0.397,6.0,-8.309,1.0,0.0329,0.684,7.44e-06,0.0982,0.32,76.703,4.0,['Country'],True
23,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,42TtHTxWk782ZBiqyOi2d1,Dawns (feat. Maggie Rogers),2023-01-27,day,1.0,290892.0,True,84.0,0.447,0.441,0.0,-7.658,1.0,0.0456,0.874,4.36e-05,0.188,0.286,122.811,4.0,['Country'],True
24,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,1SjsVdSXpwm1kTdYEHoPIT,Sun to Me,2022-05-20,day,34.0,163031.0,False,84.0,0.505,0.27,9.0,-9.165,0.0,0.0333,0.593,0.0,0.133,0.557,98.721,4.0,['Country'],True
25,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,0HEytGQM3bG1vKxER7IgVK,Spotless (feat. The Lumineers),2023-08-25,day,16.0,169467.0,True,83.0,0.604,0.444,0.0,-7.695,1.0,0.0698,0.409,0.0,0.0837,0.169,72.129,4.0,['Country'],True
26,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,0HEytGQM3bG1vKxER7IgVK,Spotless (feat. The Lumineers),2023-08-25,day,16.0,169467.0,True,83.0,0.604,0.444,0.0,-7.695,1.0,0.0698,0.409,0.0,0.0837,0.169,72.129,4.0,['Country'],True
27,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,0OWhKvvsHptt6vnnNUSM9a,Oklahoma Smokeshow,2022-07-15,day,9.0,211739.0,False,83.0,0.544,0.573,8.0,-5.694,1.0,0.0356,0.0958,0.0,0.104,0.233,122.977,4.0,['Country'],True
