name,artist_id
Darius Martin,3AMNwFfNk718n9qrHF9kT1
Bruno Mars,0du5cEVh5yTK9QJze8zA0C
Mike Posner,2KsP6tYLJlTBvSUxnwlVWa
Will Swinton,1fUcXY3KcnNvCP2dnF7XCh
French Montana,6vXTefBL93Dj5IqAWq6OTv
Oasis,2DaxqgrOhkeH0fpeiQq2f4
Nirvana,6olE6TJLqED3rqDCT0FyPh
LMFAO,3sgFRtyBnxXD5ESfmbK4dl
Adele,4dpARuHxo51G3z768sgnrY
Gotye,2AsusXITU8P25dlRNhcAbG
Katy Perry,6jJ0s89eD6GaHleKKya26X
The Lumineers,16oZKvXb6WkQlVAjwo2Wbg
Taio Cruz,6MF9fzBmfXghAz953czmBC
CeeLo Green,5nLYd9ST4Cnwy6NHaCxbj8
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb
AWOLNATION,4njdEjTnLfcGImKZu1iSrz
Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg
Pitbull,0TnOYISbd1XYRBk9myaseg
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju
Cardi B,4kYSro6naA4h99UJvo89HB
Justin Timberlake,31TPClRtHm23RisEBtV3X7
Train,3FUY2gzHeIiaesXtOAdB7A
Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL
Robin Thicke,0ZrpamOxcZybMHGg1AYtHP
Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz
Lady A,32WkQRZEVKSzVAAYqukAEA
fun.,5nCi3BB41mBaMH9gfr6Su0
The Band Perry,75FnCoo4FBxH5K1Rrx0k5A
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG
Lorde,163tK9Wjr9P9DmM0AVK7lm
benny blanco,5CiGnKThu5ctn9pBxv7DGa
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop
Sia,5WUlDfRSoLAfcVSX1WnrxN
Silentó,7juKTDFlPesGeWQ1GmjmOv
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK
Bastille,7EQ0qTo7fWT7DPxmxtSYEc
Rihanna,5pKCCKE2ajJHZ9KAiaK11H
5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Khalid,6LuN9FCkKOj5PcnpouEgny
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic
USHER,23zg3TcAtWQy7J6upgbUnj
MAGIC!,0DxeaLnv6SyYk2DOqkLO8c
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw
Zedd,2qxJFvFYMEDqd7ui6kSAcq
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai
Kesha,6LqNN22kT3074XbTVUrhzX
Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i
Britney Spears,26dSoYclwsYLMAKD3tpOr4
Flo Rida,0jnsk9HBra6NMjO2oANoPY
Imanbek,5rGrDvrLOV2VV8SCFVGWlj
Bizarrap,716NhGYqD1jl2wI1Qkgq36
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS
MKTO,2l35CQqtYRh3d8ZIiBep4v
HÄWK,0oPeHAZ3BpdlD8EyeBLady
BETHY,2AMYoSyrndaS01IOijAuhP
Skilteck,0kA7YYrQJET0k0b3VHVZ2c
Lizzo,56oDRnqbIiwx4mymNEv7dS
T.I.,4OBJLual30L7gRl5UkeRcT
Leona Lewis,5lKZWd6HiSCLfnDGrq9RAm
Steinsdotter,35KNaNrpjGSXqMHJf3p67q
Kungs,7keGfmQR4X5w0two1xKZ7d
Hoodie Forester,0nVvtYn9kK3NEegwMtyock
ABBA,0LcJLqbBmaGUft1e9Mm8HV
Kate Bush,1aSxMhuvixZ8h9dK9jIDwL
Micah McLaurin,65myEloviHpLiDJ7sA79DD
Capital Cities,4gwpcMTbLWtBUlOijbVpuu
Vanessa Carlton,5ILrArfIV0tMURcHJN8Q07
Nicola Høie,0shFBysGw18zUHjV934zn3
Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j
Beyoncé,6vWDO969PvNqNYHIOW5v0m
Lisa Dawn Miller,4yqqxloDulWcm7HJRuyJVY
Kelis,0IF46mUS8NXjgHabxk2MCM
Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP
Harleymoon Kemp,7lTrAtvHlfVsJZgXMMR05X
50 Cent,3q7HBObVc0L8jNeTe5Gofh
The Fray,0zOcE3mg9nS6l3yxt1Y0bK
Shakira,0EmeFodog0BfCgMzAIvKQp
Malcolm Lally,2xUKvqyctCbewRgmObUM9n
Cascada,0N0d3kjwdY2h7UVuTdJGfp
Anthony Martinelli,5gXUgIiv5gX9zj5Iot8lDb
Anitta,7FNnA9vBm6EKceENgCGRMb
Kanye West,5K4W6rqBFWDnAN6FQUkS6x
Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a
P!nk,1KCSPY1glIKqW2TotWuXOR
Jason Mraz,4phGZZrJZRo4ElhRtViYdl
Skyzz,3O0n3Twf8wPqVc5x9FJBYe
The Sleeping,5l3nkPJllQnOEOp5ZP5QyW
Jay Sean,4pADjHPWyrlAF0FA7joK2H
st.James,0WqfvIHk0iWcqlp4UsZyMC
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX
The North Country,2ePDWKisYScdi7gDb8WOEO
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y
B.o.B,5ndkK3dpZLKtBklKjxNQwT
Player1,531qdIZUdxxz8LQ4j63zTP
"Bobby ""Boris"" Pickett",42MRYPhQfcEXqb18dl5ERX
The Citizens of Halloween,164hs3x1Tsp3FgJWNHee1r
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm
Darell,1TtXnWcUs0FCkaZDPGYHdf
Luke Combs,718COspgdWOnwOFpJHRZHS
Jelly Roll,19k8AgwwTSxeaxkOuCQEJs
Lil Durk,3hcs9uc56yIGFCSy9leWe7
Bailey Zimmerman,3win9vGIxFfBRag9S63wwf
