3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),3TVXtAsR1Inumwj472S9r4,Drake,2022-06-17,day,14,218364,True,89
1zi7xx7UVEFkmKfv06H8x0,One Dance,3TVXtAsR1Inumwj472S9r4,Drake,2016-05-06,day,20,173986,False,89
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),3TVXtAsR1Inumwj472S9r4,Drake,2023-10-06,day,23,319191,True,88
3eP13S8D5m2cweMEg3ZDed,Virginia Beach,3TVXtAsR1Inumwj472S9r4,Drake,2023-10-06,day,23,251094,True,87
6ZprqcYFC6D9eIZaCoqrSn,Gently (feat. Bad Bunny),3TVXtAsR1Inumwj472S9r4,Drake,2023-10-06,day,23,133694,True,86
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,3TVXtAsR1Inumwj472S9r4,Drake,2022-11-04,day,16,239359,True,87
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,2023-09-20,day,15,230480,True,89
5PyDJG7SQRgWXefgexqIge,Agora Hills,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,2023-09-20,day,15,265360,True,82
0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),246dkjvS1zLTtiykXe5h60,Post Malone,2022-06-03,day,14,192840,True,86
6Uj1ctrBOjOas8xZXGqKk4,Woman,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,2021-06-25,day,14,172626,True,86
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,2021-06-25,day,14,208666,True,83
60ynsPSSKe6O3sfwRnIBRf,Streets,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,2019-11-07,day,12,226986,True,84
0k4d5YPDr1r7FX77VdqWez,You Right,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,2021-06-25,day,14,186173,True,82
2XkuWK1lXOPkxdWdM78Q0l,Demons,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,2023-09-20,day,15,195573,True,70
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,2021-06-25,day,14,210560,True,82
0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,2022-05-06,day,1,182906,True,80
0mflMxspEfB0VbI1kyLiAv,Stick Season,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,2022-10-14,day,14,182346,False,90
22VHOlVYBqytsrAqV8yXBK,Dial Drunk (with Post Malone),2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,2023-07-18,day,1,213817,True,86
1fvC3CmNAbsx0V9ULMU8NB,Sarah's Place (feat. Noah Kahan),40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,2023-09-21,day,1,214056,False,80
4nHJcUtNSUVjXRnjdP29Bk,You’re Gonna Go Far,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,2023-06-09,day,21,286369,True,82
0caJ2wkqp4UmXBwdR2JvB5,Dial Drunk,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,2023-06-09,day,21,213817,True,81
4O2rRsoSPb5aN7N3tG6Y3v,Northern Attitude,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,2022-10-14,day,14,267256,True,78
7ByxizhA4GgEf7Sxomxhze,All My Love,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,2022-10-14,day,14,251510,False,79
0p1hBWPaSxUDTSa32PyhnU,She Calls Me Back (with Kacey Musgraves),2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,2023-10-06,day,1,243962,True,80
0jkzxxDG8z3Y5OmfNl1VM0,Homesick,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,2022-10-14,day,14,194416,True,78
1LvU6IFqQnXOIwJyBDb2io,She Calls Me Back,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,2022-10-14,day,14,243815,True,74
4MjDJD8cW7iVeWInc2Bdyj,MONACO,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023-10-13,day,22,267194,True,98
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023-10-13,day,22,162767,True,97
5ixdmTpCmH5diBA1j154wN,UN PREVIEW,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023-10-13,day,22,165582,True,87
3nNmRE0DxHC6ZaKkrpUumS,FINA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2023-10-13,day,22,216327,True,93
