artist_id,name,genres,popularity,followers
3aYVrx55ZFEcQ45n0R6GRl,Jake James,,25,820
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,"chicago rap,melodic rap,rap",84,31241582
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,,58,57664
2QOP6zKx1d0gGEtuuXOvJ3,Nick Grant,atl hip hop,40,42906
1dfeR4HaWDbWqFHLkxsg1d,Queen,"classic rock,glam rock,rock",81,48735066
2FXC3k01G6Gw61bmprjgqS,Hozier,"irish singer-songwriter,modern rock,pov: indie",79,6077049
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"art pop,dance pop,pop",82,28374909
3EvzCyNmY3kbUkMawjsndF,Nick Phoenix,epicore,46,21238
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,"canadian pop,pop",86,74487050
5y2Xq6xcjJb2jVM54GHK3t,John Legend,"neo soul,pop,pop soul,urban contemporary",73,6599817
10exVja0key0uqUkk6LJRT,Vance Joy,"folk-pop,modern rock",72,2926726
2acqLrAZ1lspWmbpQzdiGE,The Hourglass Effect,,35,469
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"piano rock,pop",80,16416508
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop,85,94628701
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,"emo rap,miami hip hop",82,43440127
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,"modern rock,pop,pov: indie,rock",77,24069187
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,"pop rap,seattle hip hop",71,2619070
1vCWHaC5f2uS3yhpwWbIA6,Avicii,"dance pop,edm,pop,pop dance",78,23160905
1fo7NK0K2t82yIvc2cQSPU,LaShaun Love,,24,951
0gadJ2b9A4SKsB1RFkBb66,Passenger,"folk-pop,neo mellow",68,3247390
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"conscious hip hop,hip hop,rap,west coast rap",86,25846557
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,chill pop,74,3538935
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"hip hop,melodic rap,philly rap,rage rap,rap",83,16139140
7CajNmpbOovFoOoasH2HaY,Calvin Harris,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance",82,23418856
22CdKDXLh4wqXLZcPuCFYQ,Laci Kay Somers,,25,6518
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,"dance pop,pop",77,31932045
64KEffDW9EtZ1y2vBYgq8T,Marshmello,"brostep,edm,pop,progressive electro house",81,35061220
540vIaP2JwjQb9dm3aArA4,DJ Snake,"dance pop,edm,electronic trap,pop,pop dance",75,8724194
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"detroit hip hop,hip hop,rap",87,78107939
2wPSVzL9RmbR3g1MjWRjMe,The Ramona Flowers,,26,7167
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,"garage rock,modern rock,permanent wave,rock,sheffield indie",84,22203511
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,"permanent wave,pop",85,47902195
0C0XlULifJtAgn6ZNCW2eu,The Killers,"alternative rock,dance rock,modern rock,permanent wave,rock",74,7144671
2wY79sveU1sp5g7SokKOiI,Sam Smith,"pop,uk pop",82,23294784
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,lgbtq+ hip hop,74,12478865
26VFTg2z8YR0cCuwLzESi2,Halsey,"electropop,etherpop,indie poptimism,pop",78,21109920
738wLrAtLtCtFOLvQBXOXp,Major Lazer,"dance pop,edm,electro house,moombahton,pop,pop dance",73,6323103
04gDigrS5kc9YWfZHwBETP,Maroon 5,pop,82,41587438
0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,"melodic rap,slap house",65,1008937
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,pop soul,71,1045458
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,electro house,78,39501011
3AMNwFfNk718n9qrHF9kT1,Darius Martin,,43,13521
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"dance pop,pop",86,51980663
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,"dance pop,pop,pop dance,pop rap",66,1371906
1fUcXY3KcnNvCP2dnF7XCh,Will Swinton,,39,2590
6vXTefBL93Dj5IqAWq6OTv,French Montana,"hip hop,pop rap,rap,southern hip hop,trap",71,5225201
