track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0k4d5YPDr1r7FX77VdqWez,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,4
2XkuWK1lXOPkxdWdM78Q0l,0.831,0.362,1,-6.085,1,0.229,0.000156,0.0162,0.168,0.313,139.941,4
3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,4
0hquQWY3xvYqN4qtiquniF,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,4
0mflMxspEfB0VbI1kyLiAv,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,4
22VHOlVYBqytsrAqV8yXBK,0.667,0.613,8,-7.147,1,0.0313,0.121,0.0,0.113,0.681,112.046,4
1fvC3CmNAbsx0V9ULMU8NB,0.576,0.683,7,-5.103,1,0.118,0.41,0.0,0.0819,0.433,151.566,4
4nHJcUtNSUVjXRnjdP29Bk,0.59,0.36,7,-9.643,1,0.0301,0.599,0.0,0.112,0.379,169.909,4
0caJ2wkqp4UmXBwdR2JvB5,0.693,0.595,8,-7.578,1,0.0311,0.0969,0.0,0.113,0.646,112.02,4
4O2rRsoSPb5aN7N3tG6Y3v,0.512,0.636,3,-8.087,1,0.0469,0.113,3.8e-05,0.104,0.312,121.431,4
7ByxizhA4GgEf7Sxomxhze,0.637,0.651,2,-7.089,1,0.0521,0.32,0.0,0.0938,0.485,115.926,4
0p1hBWPaSxUDTSa32PyhnU,0.743,0.671,11,-6.304,1,0.0382,0.0706,0.0,0.294,0.627,127.923,4
0jkzxxDG8z3Y5OmfNl1VM0,0.503,0.643,6,-6.494,1,0.0407,0.0261,2.27e-05,0.314,0.43,169.955,4
1LvU6IFqQnXOIwJyBDb2io,0.752,0.679,11,-6.453,1,0.0391,0.0853,0.0,0.28,0.704,127.945,4
4MjDJD8cW7iVeWInc2Bdyj,0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4
7iQXYTyuG13aoeHxGG28Nh,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,4
5ixdmTpCmH5diBA1j154wN,0.795,0.815,1,-3.322,1,0.0821,0.0368,3.82e-05,0.227,0.334,94.991,4
3nNmRE0DxHC6ZaKkrpUumS,0.847,0.724,1,-5.41,1,0.298,0.0869,1.11e-06,0.118,0.396,94.601,4
2sTDlCxmuZCTDKKk9f1qus,0.651,0.799,9,-4.02,0,0.0611,0.143,0.634,0.112,0.223,143.992,4
2yzshFeBIwH8tWIqHEFLeD,0.571,0.72,9,-4.089,1,0.0458,0.213,0.0,0.271,0.542,83.827,4
4qSEvFGCpde73gqIuq3sho,0.801,0.645,6,-5.605,0,0.0706,0.604,0.0,0.118,0.528,119.935,4
6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,4
1YnChEM51BVZ5dRhbVFEMl,0.706,0.566,6,-6.441,0,0.126,0.268,1.02e-06,0.111,0.23,125.876,4
3NhstUmrlhaN1M6hP8zMbb,0.866,0.63,10,-4.816,0,0.0616,0.504,0.000505,0.328,0.359,117.924,4
3rUGC1vUpkDG9CZFHMur1t,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,1
45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4
36gcliMRX1vCpgnrZE3dFZ,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,4
7l9IqDtVWJurTvkQHq1BGh,0.602,0.626,2,-5.323,0,0.0396,0.0129,9.02e-06,0.144,0.619,160.118,4
7l97ElWmIdVHWUaOeeU5ZC,0.453,0.383,0,-11.015,1,0.163,0.728,0.0,0.387,0.333,105.029,4
03zuGqxMwUFFmCwusq0WKE,0.519,0.383,7,-7.174,1,0.0495,0.572,0.0,0.124,0.157,144.565,4
2cc8Sw1OnCuA5bV8nqWqpE,0.691,0.695,0,-5.6,1,0.0367,0.0592,0.0,0.0647,0.514,106.064,4
4Ey0LK1HzksUqm9JLzzKuD,0.436,0.153,0,-9.522,1,0.0454,0.911,0.0,0.129,0.415,71.684,4
4bt7eqP7mfWduRBKEpCAzM,0.663,0.374,5,-6.987,1,0.0367,0.54,0.0,0.101,0.351,106.967,4
1vdjJ55uw3WOuu7ZSyABFP,0.671,0.335,4,-9.719,0,0.0605,0.756,1.85e-06,0.109,0.115,119.369,4
4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,4
78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,4
0lEjxUUlKqjqXrVlIHFduD,0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,4
1p0rEzrK7YtdRZVtiyV7RN,0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,4
6ZthdsKjWtiCxnxbhs74vF,0.952,0.478,5,-8.52,0,0.361,0.774,0.0,0.112,0.568,118.008,4
3XOalgusokruzA5ZBA2Qcb,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,1
3OGCNLxpBmTYRxPZg2yDE5,0.767,0.662,5,-4.856,0,0.0578,0.103,0.0,0.123,0.259,143.943,4
5IelW2v32KZHJKwsoJsAwN,0.547,0.581,10,-5.281,0,0.058,0.227,3.85e-05,0.308,0.309,66.653,5
48rsYvIQXUAtxcmIoStOaM,0.795,0.55,7,-5.704,0,0.0882,0.123,0.0,0.0873,0.152,119.975,4
7Fege3yv4dvehB3NdRBGwI,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,4
6rjuKpPydT2SxN15TZpV7r,0.722,0.785,7,-5.451,0,0.0763,0.0942,0.0,0.119,0.529,122.986,4
1lOe9qE0vR9zwWQAOk6CoO,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,4
4CIyxiObT9G35HrSItAblR,0.734,0.649,8,-5.12,1,0.108,0.078,0.000664,0.137,0.239,132.038,3
2WxUIiq06XXPYWl9YcRJnD,0.895,0.439,5,-12.142,0,0.319,0.199,0.0,0.0683,0.633,109.988,4
2ZXxRC6V6AXzMdbLQZMHSB,0.704,0.537,0,-8.565,1,0.302,0.223,0.0,0.122,0.7,77.444,4
4e0FYxSROat25pH16zMTZI,0.719,0.538,11,-6.897,0,0.28,0.632,0.0,0.135,0.803,204.132,4
4guBZjUyrGoHsTahO3IHdj,0.686,0.561,10,-9.929,0,0.191,0.185,0.0,0.114,0.186,148.775,4
5itTZ7kNRBl65Nn1QO9Ax9,0.663,0.78,0,-4.951,1,0.0536,0.000379,0.0,0.14,0.356,144.972,4
0IJA9KP6rT55jrP1YpTdhx,0.732,0.636,7,-6.162,0,0.0497,0.0847,0.0,0.241,0.358,138.061,4
2WsuSYJNXGKXVYkHPnq2yp,0.684,0.671,2,-6.424,0,0.289,0.0119,0.0,0.0769,0.45,179.987,4
7K3BhSpAxZBznislvUMVtn,0.492,0.675,6,-5.456,1,0.0389,0.467,0.0,0.142,0.478,203.759,4
5W4kiM2cUYBJXKRudNyxjW,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,4
0PAcdVzhPO4gq1Iym9ESnK,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,4
3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,3
6foY66mWZN0pSRjZ408c00,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,4
5MwynWK9s4hlyKHqhkNn4A,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,4
7fveJ3pk1eSfxBdVkzdXZ0,0.624,0.766,8,-3.805,1,0.0359,0.199,8.62e-06,0.156,0.37,172.08,4
3Qu3Zh4WTKhP9GEXo0aDnb,0.53,0.678,6,-6.16,1,0.0278,0.506,6.23e-06,0.138,0.508,140.05,4
3FU6urUVsgXa6RBuV2PdRk,0.765,0.556,11,-6.417,1,0.0512,0.275,0.0,0.0824,0.274,111.033,4
2YVlDlk2zRceefo6XlC6DX,0.641,0.803,6,-5.781,0,0.0286,0.00232,3.86e-06,0.361,0.671,121.086,4
2HRgqmZQC0MC7GeNuDIXHN,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,4
01qFKNWq73UfEslI0GvumE,0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,4
2KslE17cAJNHTsI2MI0jb2,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,4
0rKWJnmo6Q0ovoPOLoLm0t,0.758,0.703,10,-5.979,0,0.172,0.252,0.0,0.146,0.465,94.985,4
5Odq8ohlgIbQKMZivbWkEo,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,4
2gkVEnpahpE3bQuvGuCpAV,0.671,0.839,1,-2.645,1,0.0866,0.179,0.0,0.0748,0.882,83.845,4
5ONOlTiqymhzwcFjqcIT6E,0.419,0.274,2,-9.321,1,0.0314,0.862,0.0,0.092,0.25,79.595,4
0k0GtcnyQLMiXrdEDbLXmJ,0.797,0.743,11,-6.005,1,0.174,0.164,1.2e-06,0.164,0.768,114.878,4
06Qo2fYR2KS1F7bL338iVT,0.781,0.655,2,-7.073,0,0.0457,0.114,0.00249,0.103,0.493,113.031,4
5KfJvZ0PZzRdwFRaTUDAA7,0.65,0.679,1,-5.557,0,0.0477,0.286,0.0,0.136,0.256,106.059,4
4so0Wek9Ig1p6CRCHuINwW,0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,3
2T9bbMgEYKbNFpI1D09ZQL,0.464,0.13,7,-17.092,0,0.0405,0.939,1.22e-06,0.298,0.593,68.228,3
04vLj9QUXoKdRlsp3gkURo,0.5,0.224,3,-12.431,1,0.0935,0.646,0.0,0.284,0.62,202.481,4
3pdQTWpq09XCBosbTtYIiZ,0.589,0.232,3,-13.633,1,0.0579,0.835,0.0,0.108,0.53,126.626,4
5aDoUmxBsbdpS16alksb5Z,0.566,0.246,10,-15.499,1,0.0276,0.813,1.48e-06,0.195,0.412,101.529,4
35MqcEIVZ7svbBpRt4N30g,0.519,0.368,7,-11.622,1,0.0796,0.617,0.0,0.0859,0.854,160.37,4
6Uekkm0MOVT4WznQy0ktVR,0.466,0.213,0,-12.009,0,0.0448,0.984,9.58e-05,0.428,0.693,97.075,3
0pAT3JUEjIiqUkwxE0vbBQ,0.636,0.165,10,-14.261,1,0.0328,0.885,4.82e-05,0.0502,0.505,112.777,4
0cAhE2iDJApegDnVRx6fCK,0.641,0.413,3,-5.624,1,0.0435,0.926,0.0,0.191,0.834,143.522,4
6OJdXv1Q5OdLgYolFEunJ4,0.336,0.194,10,-15.1,1,0.0322,0.986,0.00259,0.067,0.192,106.325,3
1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,4
0AYt6NMyyLd0rLuvr0UkMH,0.483,0.408,5,-9.243,0,0.0502,0.508,0.0,0.259,0.105,88.88,3
1yeB8MUNeLo9Ek1UEpsyz6,0.645,0.729,2,-4.56,1,0.0528,0.0377,0.0,0.384,0.142,146.01,4
1i9lZvlaDdWDPyXEE95aiq,0.458,0.535,5,-4.854,0,0.0281,0.575,0.0,0.168,0.216,82.826,4
